home,away,home_goals,away_goals,played
Athletico Paranaense,Atlético Mineiro,,,False
Athletico Paranaense,Bahia,,,False
Athletico Paranaense,Botafogo,4,1,True
Athletico Paranaense,Chapecoense,2,0,True
Athletico Paranaense,Corinthians,0,1,True
Athletico Paranaense,Coritiba,2,0,True
Athletico Paranaense,Cruzeiro,2,1,True
Athletico Paranaense,Flamengo,1,1,True
Athletico Paranaense,Fluminense,3,3,True
Athletico Paranaense,Grêmio,0,0,True
Athletico Paranaense,Internacional,2,0,True
Athletico Paranaense,Mirassol,1,0,True
Athletico Paranaense,Palmeiras,,,False
Athletico Paranaense,Red Bull Bragantino,1,1,True
Athletico Paranaense,Remo,,,False
Athletico Paranaense,Santos,2,1,True
Athletico Paranaense,São Paulo,,,False
Athletico Paranaense,Vasco da Gama,,,False
Athletico Paranaense,Vitória,3,1,True
Atlético Mineiro,Athletico Paranaense,2,1,True
Atlético Mineiro,Bahia,1,1,True
Atlético Mineiro,Botafogo,1,1,True
Atlético Mineiro,Chapecoense,,,False
Atlético Mineiro,Corinthians,,,False
Atlético Mineiro,Coritiba,,,False
Atlético Mineiro,Cruzeiro,,,False
Atlético Mineiro,Flamengo,0,4,True
Atlético Mineiro,Fluminense,3,1,True
Atlético Mineiro,Grêmio,3,0,True
Atlético Mineiro,Internacional,1,0,True
Atlético Mineiro,Mirassol,3,1,True
Atlético Mineiro,Palmeiras,2,2,True
Atlético Mineiro,Red Bull Bragantino,,,False
Atlético Mineiro,Remo,3,3,True
Atlético Mineiro,Santos,,,False
Atlético Mineiro,São Paulo,1,0,True
Atlético Mineiro,Vasco da Gama,,,False
Atlético Mineiro,Vitória,2,1,True
Bahia,Athletico Paranaense,3,0,True
Bahia,Atlético Mineiro,,,False
Bahia,Botafogo,2,1,True
Bahia,Chapecoense,2,0,True
Bahia,Corinthians,1,1,True
Bahia,Coritiba,,,False
Bahia,Cruzeiro,1,2,True
Bahia,Flamengo,,,False
Bahia,Fluminense,1,1,True
Bahia,Grêmio,1,1,True
Bahia,Internacional,3,2,True
Bahia,Mirassol,,,False
Bahia,Palmeiras,1,2,True
Bahia,Red Bull Bragantino,2,0,True
Bahia,Remo,,,False
Bahia,Santos,2,2,True
Bahia,São Paulo,,,False
Bahia,Vasco da Gama,0,0,True
Bahia,Vitória,1,1,True
Botafogo,Athletico Paranaense,2,3,True
Botafogo,Atlético Mineiro,,,False
Botafogo,Bahia,,,False
Botafogo,Chapecoense,,,False
Botafogo,Corinthians,3,1,True
Botafogo,Coritiba,2,2,True
Botafogo,Cruzeiro,4,0,True
Botafogo,Flamengo,0,3,True
Botafogo,Fluminense,1,1,True
Botafogo,Grêmio,,,False
Botafogo,Internacional,2,2,True
Botafogo,Mirassol,3,2,True
