time,titulo_fixo,titulo_bs,G4_fixo,G4_bs,Z4_fixo,Z4_bs,d_titulo
Flamengo,66.64,65.49,99.99,99.92,0.0,0.0,-1.15
Palmeiras,33.22,33.97,99.97,99.68,0.0,0.0,0.75
Athletico Paranaense,0.11,0.36,73.76,68.36,0.0,0.0,0.25
Fluminense,0.02,0.09,49.53,49.16,0.0,0.0,0.07
Cruzeiro,0.01,0.03,19.42,21.0,0.0,0.01,0.02
Botafogo,0.0,0.0,1.06,1.53,1.7,3.39,0.0
Atlético Mineiro,0.0,0.01,15.85,18.07,0.0,0.01,0.01
Bahia,0.0,0.06,33.13,32.64,0.0,0.01,0.06
Coritiba,0.0,0.0,0.68,1.18,0.53,1.21,0.0
Corinthians,0.0,0.0,0.06,0.13,6.72,9.17,0.0
Grêmio,0.0,0.0,0.0,0.01,48.64,46.81,0.0
Chapecoense,0.0,0.0,0.0,0.0,99.96,99.8,0.0
Internacional,0.0,0.0,0.0,0.0,42.34,40.27,0.0
Mirassol,0.0,0.0,0.0,0.02,44.46,42.16,0.0
Red Bull Bragantino,0.0,0.0,4.3,5.23,0.07,0.4,0.0
Remo,0.0,0.0,0.0,0.0,88.42,86.29,0.0
Santos,0.0,0.0,0.12,0.66,6.33,9.16,0.0
São Paulo,0.0,0.0,2.08,2.29,0.4,1.11,0.0
Vasco da Gama,0.0,0.0,0.0,0.01,50.21,45.27,0.0
Vitória,0.0,0.0,0.04,0.11,10.22,14.93,0.0
