,1o,2o,3o,4o,5o,6o,7o,8o,9o,10o,11o,12o,13o,14o,15o,16o,17o,18o,19o,20o
Flamengo,59.87,39.45,0.63,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Palmeiras,40.05,58.62,1.19,0.12,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Athletico Paranaense,0.06,1.33,48.33,24.45,13.53,7.01,3.23,1.46,0.45,0.12,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fluminense,0.01,0.31,21.76,27.75,21.21,13.64,8.11,4.12,1.94,0.72,0.29,0.11,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bahia,0.01,0.19,13.87,18.77,21.1,18.12,12.66,7.62,4.05,2.1,1.03,0.34,0.1,0.03,0.01,0.0,0.0,0.0,0.0,0.0
Cruzeiro,0.0,0.08,7.02,12.52,15.9,18.52,17.52,12.34,7.74,4.51,2.37,1.0,0.36,0.11,0.02,0.0,0.0,0.0,0.0,0.0
Atlético Mineiro,0.0,0.02,5.54,10.61,15.61,18.45,18.01,13.33,8.55,4.93,2.78,1.29,0.6,0.19,0.08,0.02,0.0,0.0,0.0,0.0
Red Bull Bragantino,0.0,0.01,1.1,3.22,6.24,10.51,14.85,17.76,15.41,12.01,8.38,5.09,2.88,1.5,0.64,0.28,0.09,0.02,0.0,0.0
Coritiba,0.0,0.0,0.1,0.55,1.58,3.34,6.44,10.64,14.71,17.08,15.53,12.44,8.45,4.95,2.6,1.07,0.41,0.08,0.01,0.0
São Paulo,0.0,0.0,0.18,0.87,2.03,4.19,7.56,11.76,15.52,15.83,13.74,10.93,7.77,4.97,2.68,1.21,0.54,0.2,0.03,0.0
Botafogo,0.0,0.0,0.22,0.87,2.04,4.22,6.95,10.84,13.45,14.42,13.82,11.55,8.48,5.88,3.59,2.01,1.1,0.45,0.11,0.0
Santos,0.0,0.0,0.05,0.14,0.42,1.06,2.24,4.2,6.35,8.92,11.83,13.8,14.8,13.43,9.79,6.72,3.83,1.88,0.54,0.0
Corinthians,0.0,0.0,0.0,0.04,0.17,0.53,1.22,2.97,5.73,8.66,12.11,15.01,15.91,14.11,10.26,6.67,4.14,2.01,0.45,0.0
Vitória,0.0,0.0,0.01,0.04,0.14,0.37,1.01,2.23,4.13,6.62,9.7,13.14,15.08,15.48,12.92,9.14,6.05,3.15,0.78,0.01
Internacional,0.0,0.0,0.0,0.0,0.0,0.01,0.07,0.22,0.62,1.26,2.44,4.38,6.98,10.58,14.52,16.87,17.28,16.73,7.88,0.14
Mirassol,0.0,0.0,0.0,0.0,0.01,0.03,0.06,0.22,0.52,1.14,2.31,3.98,6.49,9.8,13.98,16.79,17.9,17.52,8.99,0.26
Vasco da Gama,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.16,0.41,0.87,1.82,3.24,5.51,8.56,12.94,16.76,19.29,18.73,11.37,0.3
Grêmio,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.13,0.4,0.77,1.68,3.39,5.87,8.87,12.84,16.71,18.82,19.13,11.11,0.24
Remo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.13,0.31,0.68,1.53,3.11,5.73,10.41,19.54,53.92,4.59
Chapecoense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.13,0.56,4.82,94.46
