time,ataque,erro_ataque,defesa,erro_defesa
Athletico Paranaense,0.151,0.184,-0.128,0.142
Atlético Mineiro,0.054,0.171,-0.08,0.163
Bahia,0.171,0.168,-0.003,0.162
Botafogo,0.183,0.175,0.184,0.149
Chapecoense,-0.167,0.209,0.459,0.172
Corinthians,-0.27,0.15,-0.231,0.189
Coritiba,0.028,0.115,0.116,0.181
Cruzeiro,0.11,0.142,0.101,0.155
Flamengo,0.406,0.145,-0.471,0.24
Fluminense,0.161,0.156,-0.003,0.173
Grêmio,-0.205,0.198,0.064,0.205
Internacional,-0.172,0.185,-0.024,0.157
Mirassol,-0.182,0.17,0.141,0.161
Palmeiras,0.288,0.149,-0.511,0.225
Red Bull Bragantino,-0.034,0.169,-0.145,0.168
Remo,-0.104,0.175,0.254,0.11
Santos,0.119,0.155,0.198,0.165
São Paulo,-0.085,0.17,-0.152,0.178
Vasco da Gama,-0.17,0.164,0.185,0.165
Vitória,-0.282,0.27,0.044,0.173
