,ataque,defesa,indice
Flamengo,0.406,-0.471,0.876
Palmeiras,0.288,-0.511,0.8
Athletico Paranaense,0.151,-0.128,0.279
Bahia,0.171,-0.003,0.174
Fluminense,0.161,-0.003,0.164
Atlético Mineiro,0.054,-0.08,0.134
Red Bull Bragantino,-0.034,-0.145,0.111
São Paulo,-0.085,-0.152,0.066
Cruzeiro,0.11,0.101,0.009
Botafogo,0.183,0.184,-0.001
Corinthians,-0.27,-0.231,-0.039
Santos,0.119,0.198,-0.079
Coritiba,0.028,0.116,-0.089
Internacional,-0.172,-0.024,-0.148
Grêmio,-0.205,0.064,-0.27
Mirassol,-0.182,0.141,-0.323
Vitória,-0.282,0.044,-0.326
Vasco da Gama,-0.17,0.185,-0.355
Remo,-0.104,0.254,-0.358
Chapecoense,-0.167,0.459,-0.626
