posicao,pontos,n,prob
4,54,3,0.003001200480192077
4,55,14,0.014005602240896357
4,56,120,0.12004801920768307
4,57,438,0.43817527010804325
4,58,1405,1.405562224889956
4,59,3479,3.480392156862745
4,60,6979,6.981792717086835
4,61,10490,10.494197679071629
4,62,14127,14.13265306122449
4,63,15546,15.552220888355341
4,64,14451,14.456782713085234
4,65,12134,12.138855542216886
4,66,8813,8.816526610644258
4,67,5623,5.625250100040017
4,68,3280,3.281312525010004
4,69,1733,1.7336934773909563
4,70,804,0.8043217286914767
4,71,359,0.3591436574629852
4,72,107,0.10704281712685074
4,73,47,0.0470188075230092
4,74,7,0.007002801120448179
4,75,1,0.0010004001600640256
6,51,14,0.014005602240896357
6,52,64,0.06402561024409764
6,53,402,0.40216086434573833
6,54,1460,1.4605842336934773
6,55,4178,4.179671868747499
6,56,8747,8.750500200080031
6,57,14385,14.390756302521007
6,58,18186,18.19327731092437
6,59,18357,18.364345738295317
6,60,14897,14.90296118447379
6,61,9922,9.925970388155262
6,62,5526,5.528211284513806
6,63,2538,2.5390156062424967
6,64,887,0.8873549419767908
6,65,315,0.31512605042016806
6,66,66,0.06602641056422569
6,67,14,0.014005602240896357
6,68,2,0.0020008003201280513
16,33,1,0.0010004001600640256
16,34,13,0.013005202080832333
16,35,51,0.05102040816326531
16,36,307,0.3071228491396559
16,37,1095,1.0954381752701081
16,38,3220,3.221288515406162
16,39,7393,7.395958383353342
16,40,13195,13.200280112044819
16,41,19152,19.15966386554622
16,42,21265,21.273509403761505
16,43,17697,17.70408163265306
16,44,10564,10.568227290916367
16,45,4440,4.441776710684274
16,46,1278,1.2785114045618247
16,47,262,0.2621048419367747
16,48,25,0.025010004001600642
16,49,2,0.0020008003201280513
17,31,2,0.0020008003201280513
17,32,7,0.007002801120448179
17,33,80,0.08003201280512205
17,34,399,0.3991596638655462
17,35,1317,1.3175270108043218
17,36,3383,3.3843537414965983
17,37,7207,7.209883953581432
17,38,12288,12.292917166866747
17,39,17515,17.52200880352141
17,40,19393,19.400760304121647
17,41,17418,17.424969987995198
17,42,12046,12.050820328131252
17,43,6209,6.211484593837535
17,44,2124,2.12484993997599
17,45,473,0.47318927571028413
17,46,90,0.09003601440576231
17,47,8,0.008003201280512205
17,48,1,0.0010004001600640256
