time,pts_hoje,pts_medio,pts_p10,pts_p90,pos_mediana,titulo_%,G4_%,G6_%,Z4_%
Flamengo,54,79.0,74,84,1,66.41,99.99,100.0,0.0
Palmeiras,53,76.9,72,82,2,33.38,99.93,100.0,0.0
Athletico Paranaense,46,64.2,59,69,4,0.12,72.96,94.93,0.0
Fluminense,45,63.5,58,69,4,0.07,63.15,91.32,0.0
Bahia,43,60.3,55,66,5,0.01,30.62,73.28,0.0
Cruzeiro,42,58.1,53,64,6,0.0,17.88,55.78,0.0
Atlético Mineiro,36,55.5,50,61,7,0.0,7.93,33.55,0.03
Red Bull Bragantino,35,54.0,48,60,8,0.0,3.91,22.46,0.07
São Paulo,33,52.0,46,58,9,0.0,1.81,11.75,0.42
Coritiba,38,51.3,46,56,10,0.0,0.65,6.03,0.33
Botafogo,31,50.8,45,57,10,0.0,0.94,7.7,1.3
Santos,32,47.3,42,53,13,0.0,0.12,1.67,5.34
Corinthians,32,47.1,42,52,13,0.0,0.05,0.79,5.19
Vitória,32,46.0,41,51,13,0.0,0.04,0.62,8.02
Grêmio,28,43.2,38,49,15,0.0,0.0,0.1,25.01
Mirassol,28,41.4,36,47,16,0.0,0.0,0.02,40.83
Internacional,25,40.1,35,45,17,0.0,0.0,0.01,56.85
Vasco da Gama,25,38.4,33,44,18,0.0,0.0,0.0,70.03
Remo,23,35.9,31,41,19,0.0,0.0,0.0,86.87
Chapecoense,17,28.1,23,33,20,0.0,0.0,0.0,99.72
